model,mu/p_induced,generations,trial,mutants
Combined,0.0001,16,239,38
Darwinian,0.0001,16,240,176
Lamarckian,0.0001,16,240,6
Combined,0.0001,16,240,22
Darwinian,0.0001,16,241,80
Lamarckian,0.0001,16,241,7
Combined,0.0001,16,241,1047
Darwinian,0.0001,16,242,63
Lamarckian,0.0001,16,242,5
Combined,0.0001,16,242,44
Darwinian,0.0001,16,243,84
Lamarckian,0.0001,16,243,5
Combined,0.0001,16,243,93
Darwinian,0.0001,16,244,26
Lamarckian,0.0001,16,244,8
Combined,0.0001,16,244,173
Darwinian,0.0001,16,245,24
Lamarckian,0.0001,16,245,5
Combined,0.0001,16,245,58
Darwinian,0.0001,16,246,58
Lamarckian,0.0001,16,246,3
Combined,0.0001,16,246,30
Darwinian,0.0001,16,247,50
Lamarckian,0.0001,16,247,2
Combined,0.0001,16,247,80
Darwinian,0.0001,16,248,72
Lamarckian,0.0001,16,248,10
Combined,0.0001,16,248,36
Darwinian,0.0001,16,249,54
Lamarckian,0.0001,16,249,6
Combined,0.0001,16,249,46
Darwinian,0.0001,16,250,85
Lamarckian,0.0001,16,250,6
Combined,0.0001,16,250,42
Darwinian,0.0001,16,251,31
Lamarckian,0.0001,16,251,5
Combined,0.0001,16,251,38
Darwinian,0.0001,16,252,45
Lamarckian,0.0001,16,252,8
Combined,0.0001,16,252,31
Darwinian,0.0001,16,253,47
Lamarckian,0.0001,16,253,7
Combined,0.0001,16,253,34
Darwinian,0.0001,16,254,21
Lamarckian,0.0001,16,254,3
Combined,0.0001,16,254,22
Darwinian,0.0001,16,255,20
Lamarckian,0.0001,16,255,9
Combined,0.0001,16,255,21
Darwinian,0.0001,16,256,69
Lamarckian,0.0001,16,256,9
Combined,0.0001,16,256,68
Darwinian,0.0001,16,257,34
Lamarckian,0.0001,16,257,6
Combined,0.0001,16,257,70
Darwinian,0.0001,16,258,24
Lamarckian,0.0001,16,258,5
Combined,0.0001,16,258,70
Darwinian,0.0001,16,259,40
Lamarckian,0.0001,16,259,5
Combined,0.0001,16,259,32
Darwinian,0.0001,16,260,139
Lamarckian,0.0001,16,260,6
Combined,0.0001,16,260,47
Darwinian,0.0001,16,261,23
Lamarckian,0.0001,16,261,4
Combined,0.0001,16,261,16
Darwinian,0.0001,16,262,16
Lamarckian,0.0001,16,262,6
Combined,0.0001,16,262,17
Darwinian,0.0001,16,263,48
Lamarckian,0.0001,16,263,5
Combined,0.0001,16,263,39
Darwinian,0.0001,16,264,31
Lamarckian,0.0001,16,264,5
Combined,0.0001,16,264,23
Darwinian,0.0001,16,265,59
Lamarckian,0.0001,16,265,5
Combined,0.0001,16,265,95
Darwinian,0.0001,16,266,31
Lamarckian,0.0001,16,266,3
Combined,0.0001,16,266,45
Darwinian,0.0001,16,267,18
Lamarckian,0.0001,16,267,6
Combined,0.0001,16,267,158
Darwinian,0.0001,16,268,43
Lamarckian,0.0001,16,268,1
Combined,0.0001,16,268,38
Darwinian,0.0001,16,269,10
Lamarckian,0.0001,16,269,4
Combined,0.0001,16,269,33
Darwinian,0.0001,16,270,105
Lamarckian,0.0001,16,270,8
Combined,0.0001,16,270,34
Darwinian,0.0001,16,271,18
Lamarckian,0.0001,16,271,7
Combined,0.0001,16,271,54
Darwinian,0.0001,16,272,162
Lamarckian,0.0001,16,272,9
Combined,0.0001,16,272,52
Darwinian,0.0001,16,273,46
Lamarckian,0.0001,16,273,5
Combined,0.0001,16,273,91
Darwinian,0.0001,16,274,36
Lamarckian,0.0001,16,274,8
Combined,0.0001,16,274,36
Darwinian,0.0001,16,275,84
Lamarckian,0.0001,16,275,3
Combined,0.0001,16,275,96
Darwinian,0.0001,16,276,2091
Lamarckian,0.0001,16,276,7
Combined,0.0001,16,276,77
Darwinian,0.0001,16,277,592
Lamarckian,0.0001,16,277,7
Combined,0.0001,16,277,190
